CountyFull,State,County,1953,1954,1955,1956,1957,1958,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,StateX,StateY,CountyX,CountyY,countyfull2,trimmed
Baldwin  AL,AL,Baldwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,2,0,0,0,1,1,1,4,0,0,3,2,0,2,1,0,1,0,0,3,1,0,-80.8646011,33.8778992,-87.7498016,-87.7498016,"Baldwin, AL",Baldwin
Baldwin  GA,GA,Baldwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,-86.8444977,32.7569008,-83.2496033,-83.2496033,"Baldwin, GA",Baldwin
Ballard  KY,KY,Ballard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,2,3,1,1,1,0,0,1,0,0,0,0,-89.6533966,32.7128983,-88.9992981,-88.9992981,"Ballard, KY",Ballard
Bamberg  SC,SC,Bamberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,2,2,1,0,-86.343399,35.8429985,-81.0541992,-81.0541992,"Bamberg, SC",Bamberg
Banks  GA,GA,Banks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,-86.8444977,32.7569008,-83.4973984,-83.4973984,"Banks, GA",Banks
Baraga  MI,MI,Baraga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,"Baraga, MI",Baraga
Barbour  AL,AL,Barbour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,2,0,0,1,1,0,2,0,0,0,1,0,2,1,0,-80.8646011,33.8778992,-85.3932037,-85.3932037,"Barbour, AL",Barbour
Barnwell  SC,SC,Barnwell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,2,2,1,0,-86.343399,35.8429985,-81.4349976,-81.4349976,"Barnwell, SC",Barnwell
Barren  KY,KY,Barren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,-89.6533966,32.7128983,-85.9337006,-85.9337006,"Barren, KY",Barren
Barrow  GA,GA,Barrow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,-86.8444977,32.7569008,-83.7127991,-83.7127991,"Barrow, GA",Barrow
Barry  MI,MI,Barry,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,,"Barry, MI",Barry
Bartow  GA,GA,Bartow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,2,0,0,-86.8444977,32.7569008,-84.8404999,-84.8404999,"Bartow, GA",Bartow
Bath  KY,KY,Bath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,2,1,1,1,0,0,2,0,0,0,0,-89.6533966,32.7128983,-83.7426987,-83.7426987,"Bath, KY",Bath
Bay  FL,FL,Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,1,4,2,1,1,0,0,3,3,0,0,2,1,0,0,1,1,1,0,0,2,1,0,-79.1308975,35.526001,-85.6325989,-85.6325989,"Bay, FL",Bay
Bay  MI,MI,Bay,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,"Bay, MI",Bay
Beaufort  NC,NC,Beaufort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,4,0,0,0,1,0,2,0,0,1,0,2,2,0,0,0,0,2,0,1,0,-83.4271011,32.6385994,-76.8452988,-76.8452988,"Beaufort, NC",Beaufort
Beaufort  SC,SC,Beaufort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,2,1,0,-86.343399,35.8429985,-80.6921997,-80.6921997,"Beaufort, SC",Beaufort
