CountyFull,State,County,1953,1954,1956,1965,1968,1971,1973,1974,1975,1978,1980,1984,1988,1989,1992,1993,1994,1995,1997,2000,2017,2019,StateX,StateY,CountyX,CountyY,countyfull2,trimmed
Currituck  NC,NC,Currituck ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-83.4271011,32.6385994,-75.9369965,-75.9369965,"Currituck, NC",Currituck
Dade  FL,FL,Dade ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-79.1308975,35.526001,,,"Dade, FL",Dade
Dade  GA,GA,Dade ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-86.8444977,32.7569008,-85.5045013,-85.5045013,"Dade, GA",Dade
Dale  AL,AL,Dale ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-80.8646011,33.8778992,-85.6110001,-85.6110001,"Dale, AL",Dale
Dare  NC,NC,Dare ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-83.4271011,32.6385994,-75.6852036,-75.6852036,"Dare, NC",Dare
Davidson  NC,NC,Davidson ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-83.4271011,32.6385994,-80.2126999,-80.2126999,"Davidson, NC",Davidson
Davidson  TN,TN,Davidson ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-85.2906036,37.5265999,-86.7847977,-86.7847977,"Davidson, TN",Davidson
Davie  NC,NC,Davie ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-83.4271011,32.6385994,-80.5445023,-80.5445023,"Davie, NC",Davie
Daviess  KY,KY,Daviess ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-89.6533966,32.7128983,-87.0871964,-87.0871964,"Daviess, KY",Daviess
Dawson  GA,GA,Dawson ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.8444977,32.7569008,-84.1706009,-84.1706009,"Dawson, GA",Dawson
Decatur  GA,GA,Decatur ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-86.8444977,32.7569008,-84.5791016,-84.5791016,"Decatur, GA",Decatur
Decatur  TN,TN,Decatur ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-85.2906036,37.5265999,-88.1088028,-88.1088028,"Decatur, TN",Decatur
DeKalb  AL,AL,DeKalb ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.8646011,33.8778992,-85.8041,-85.8041,"DeKalb, AL",DeKalb
DeKalb  GA,GA,DeKalb ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.8444977,32.7569008,-84.2264023,-84.2264023,"DeKalb, GA",DeKalb
DeKalb  TN,TN,DeKalb ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-85.2906036,37.5265999,-85.8327026,-85.8327026,"DeKalb, TN",DeKalb
Dickson  TN,TN,Dickson ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-85.2906036,37.5265999,-87.3566971,-87.3566971,"Dickson, TN",Dickson
Dixie  FL,FL,Dixie ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-79.1308975,35.526001,-83.1869965,-83.1869965,"Dixie, FL",Dixie
Dodge  GA,GA,Dodge ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-86.8444977,32.7569008,-83.1684036,-83.1684036,"Dodge, GA",Dodge
Dooly  GA,GA,Dooly ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-86.8444977,32.7569008,-83.7987976,-83.7987976,"Dooly, GA",Dooly
Dougherty  GA,GA,Dougherty ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-86.8444977,32.7569008,-84.216301,-84.216301,"Dougherty, GA",Dougherty
Duplin  NC,NC,Duplin ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-83.4271011,32.6385994,-77.9329987,-77.9329987,"Duplin, NC",Duplin
Durham  NC,NC,Durham ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-83.4271011,32.6385994,-78.8766022,-78.8766022,"Durham, NC",Durham
Duval  FL,FL,Duval ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-79.1308975,35.526001,-81.6480026,-81.6480026,"Duval, FL",Duval
