CountyFull,State,County,1972,1977,1978,1993,1994,1996,1999,2000,2004,2015,StateX,StateY,CountyX,CountyY,countyfull2,trimmed
Dickinson  MI,MI,Dickinson ,0,0,1,0,0,0,0,0,0,0,,,,,"Dickinson, MI",Dickinson
Dodge  GA,GA,Dodge ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-83.1684036,-83.1684036,"Dodge, GA",Dodge
Douglas  GA,GA,Douglas ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-84.7679977,-84.7679977,"Douglas, GA",Douglas
Durham  NC,NC,Durham ,0,1,0,1,0,1,0,0,0,0,-83.4271011,32.6385994,-78.8766022,-78.8766022,"Durham, NC",Durham
Eaton  MI,MI,Eaton ,1,1,1,0,0,0,0,1,0,0,,,,,"Eaton, MI",Eaton
Edgecombe  NC,NC,Edgecombe ,0,0,0,0,0,1,0,0,0,0,-83.4271011,32.6385994,-77.5970993,-77.5970993,"Edgecombe, NC",Edgecombe
Edmonson  KY,KY,Edmonson ,0,0,0,1,1,1,0,0,0,1,-89.6533966,32.7128983,-86.2386017,-86.2386017,"Edmonson, KY",Edmonson
Effingham  GA,GA,Effingham ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-81.341301,-81.341301,"Effingham, GA",Effingham
Elbert  GA,GA,Elbert ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-82.8401031,-82.8401031,"Elbert, GA",Elbert
Elliott  KY,KY,Elliott ,0,0,0,1,1,1,0,0,0,0,-89.6533966,32.7128983,-83.0976028,-83.0976028,"Elliott, KY",Elliott
Elmore  AL,AL,Elmore ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-86.1491013,-86.1491013,"Elmore, AL",Elmore
Emanuel  GA,GA,Emanuel ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-82.3016968,-82.3016968,"Emanuel, GA",Emanuel
Emmet  MI,MI,Emmet ,0,0,1,0,0,0,0,0,0,0,,,,,"Emmet, MI",Emmet
Escambia  AL,AL,Escambia ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-87.1615982,-87.1615982,"Escambia, AL",Escambia
Estill  KY,KY,Estill ,0,0,0,1,1,1,0,0,0,1,-89.6533966,32.7128983,-83.9643021,-83.9643021,"Estill, KY",Estill
Etowah  AL,AL,Etowah ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-86.0347977,-86.0347977,"Etowah, AL",Etowah
Evans  GA,GA,Evans ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-81.8869019,-81.8869019,"Evans, GA",Evans
Fannin  GA,GA,Fannin ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-84.3199005,-84.3199005,"Fannin, GA",Fannin
Fayette  AL,AL,Fayette ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-87.7388992,-87.7388992,"Fayette, AL",Fayette
Fayette  GA,GA,Fayette ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-84.4942017,-84.4942017,"Fayette, GA",Fayette
Fayette  KY,KY,Fayette ,0,0,0,1,1,1,0,0,0,0,-89.6533966,32.7128983,-84.4587021,-84.4587021,"Fayette, KY",Fayette
Fentress  TN,TN,Fentress ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-84.9325027,-84.9325027,"Fentress, TN",Fentress
Fleming  KY,KY,Fleming ,0,0,0,1,0,1,0,0,0,0,-89.6533966,32.7128983,-83.6966019,-83.6966019,"Fleming, KY",Fleming
Floyd  GA,GA,Floyd ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-85.2143021,-85.2143021,"Floyd, GA",Floyd
